Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B3",DELTRON 4mm banana socket - red,2,Screw_Terminal_01x01,
"B2, B4",DELTRON 4mm banana socket - black,2,Screw_Terminal_01x01,
C1,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1uF,
C2,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.47uF,
C3,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.22uF,
C4,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,220n,
C5,CP_Radial_D17.0mm_P7.50mm,1,1000u,
C6,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,100n,
D2,D_DO-201AD_P15.24mm_Horizontal,1,1N5408,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J3, J4",oscil,4,Conn_01x01_Male,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
Q1,TO-220F-3_Horizontal_TabDown,1,IRFZ44N,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3k3,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4k7,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k2,
"R4, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330,
RV1,PTV09A-4225F-B502,1,10k,
U1,DIP-16_W7.62mm_Socket_LongPads,1,SG3524,
