Designator,Mid X,Mid Y,Rotation,Layer
B1,101.0,-69.684785,0.0,top
B2,101.0,-134.75,0.0,top
B3,176.5,-69.684785,180.0,top
B4,176.5,-134.75,180.0,top
C1,120.2,-128.2,270.0,top
C2,130.2,-128.2,270.0,top
C3,140.2,-128.2,270.0,top
C4,124.443,-108.52,180.0,top
C5,124.743,-70.454733,270.0,top
C6,133.8,-88.52,270.0,top
D2,181.2,-102.4,270.0,top
J1,121.8,-140.8,0.0,top
J2,132.866666,-140.8,0.0,top
J3,143.933332,-140.8,0.0,top
J4,155.0,-140.8,0.0,top
J5,130.185,-118.12,270.0,top
Q1,158.96,-103.795,180.0,top
R1,101.5,-117.4,0.0,top
R2,101.5,-87.4,180.0,top
R3,113.4,-104.0,270.0,top
R4,139.6,-91.0,270.0,top
R6,133.8,-104.0,270.0,top
R7,139.6,-104.0,270.0,top
RV1,99.6895,-102.4,270.0,top
U1,124.753,-92.41,0.0,top
